=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.15 15:43:45 =~=~=~=~=~=~=~=~=~=~=~=
 -9.6900,   0.1400,  -0.4200, -44.1875,4.0600,   9.7900,   8.0000,  14.5000,  44.7500,  -0.0625,   0.0000,  -0.0625, 328126, -0..0154, 0.0485, 0.9115 
 -0.9500,  -0.0600,   9.7900,   8.0000,  14.5000,  44.7500,  -0.0625,   0.0000,  -0.0625, 328126, -0..0154, 0.0485, 0.9115 
 -0.9500,  -0.0600,   9.7900,   8.0000,  14.5000,  44.7500,  -0.0625,   0.0000,  -0.0625, 328126, -0.Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 1, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 1, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
