=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.15 15:54:35 =~=~=~=~=~=~=~=~=~=~=~=
5, 88869, 0.5625, 4.6250, 235.5625, 0.4660, 0.023.0, 0.9852, 0.0,  -0.0700,   9.8200, -22.5625,   4.0625,  47.3750,  -0.0000,   0.0625,   0.0625, 333097, -1.0625, 5.6875, 341.1250, 0.9852, 0.0478, 0.173   9.8200, -22.5625,   4.0625,  47.3750,  -0.0000,   0.0625,   0.0625, 333097, -1.0625, 5.6875, 341.1250, 0.9852, 0.0478, 0.173Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
