=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.13 21:24:01 =~=~=~=~=~=~=~=~=~=~=~=
25, 1.3125, 216.8750, 0.3167, 0.0148, 0.0075, 0.9,0.0625.8750, 0.3167, 0.0148, 0.0075, 0.9484 
 -0.3100,   0.2000,   9.8000,  13.0000,  12.5625,  38.8750,  -0.1250,   0.1250,   0.0625, 94142Rr67, 0.0148, 0.0075, 0.9484 
 -0.3100,   0.2000,   9.8000,  13.0000,  12.5625,  38.8750,  -0.1250,   0.1250,   0.0625, 94142RrCalibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 1, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
