=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.15 15:59:01 =~=~=~=~=~=~=~=~=~=~=~=
,   5.8750,  47.3750,  -0.0625,  -0.0625,  -0.1258 0.0625,   0.0625,  -0.3750, 265532, -0.8750, 5.1250, 328.6875, 0.9620, 0.0411, 0.0196, 0.2693 
 -0.8700,  -0.3100,  10.1500, -171825,   0.0625,  -0.3750, 265532, -0.8750, 5.1250, 328.6875, 0.9620, 0.0411, 0.0196, 0.2693 
 -0.8700,  -0.3100,  10.1500, -1718Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 0, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 2
