=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.27 12:31:10 =~=~=~=~=~=~=~=~=~=~=~=
 -0.6000,  -0.2200,   9.8100,  -7.8750,.0.0625,   0.0000,  -0.0625, 844479, -1.3125, 3.12500251, 0.5564 
 -0.5800,  -0.2100,   9.8100,  -9.0000,  15.1875,  33.3750,  -0.0625,   0.0000,  -0.0625, 844479, -1.3125, 3.1250, N&iCalibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
