=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.15 16:07:06 =~=~=~=~=~=~=~=~=~=~=~=
 -0.6900,   0.1300725,   0.0000,  -0.1250, 231598, 0.1875, 4.1250, 224.0000, 0.3746, 0.0153, 0.0327, 0.9265 
  11.5625,  13.5625,  41.1875,  -0.0625,   0.0000,  -0.1250, 231598, 0.1875, 4.1250, 224.0000, 0.3746, 0.0153, 0.0327, 0.9265 
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 1, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 1, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 1, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 1, Mag: 3
