=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.07 11:36:54 =~=~=~=~=~=~=~=~=~=~=~=
900,   0.2600,   9.5000, -19.5000,  10.6875,  510  0.0625,   0.0625, 172962, 2.0625, 2.3125, 33.5625 
5 
 -0.3400,   0.3800,   9.6400, -18.7500,  14.2500,  50.1875,  -0.0000,   0.0625,   0.0625, 172962, 2.0625, 2.3125, 33.5625 
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 0, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 0
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 1, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 1
Calibration Levels - System: 0, Gyro: 3, Accel: 0, Mag: 2
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 3, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
Calibration Levels - System: 2, Gyro: 3, Accel: 0, Mag: 3
